Q1,Q2,T1,T2,S1,S2,TB1,TB2,TB3,TB4,TB5
95,100,36.0,24.0,5.0,5.0,1,1,1,1,1
80,100,36.0,23.0,5.0,4.0,1,1,1,1,1
50,93.33,8.0,1.0,4.0,4.0,1,1,0,1,1
95,100,36.0,24.0,5.0,6.0,1,1,1,1,1
35,50,39.0,17.0,99.0,99.0,1,0,0,1,0
40,90,9.0,5.0,5.0,5.0,1,1,1,1,0
80,90,36.0,24.0,5.0,4.0,1,1,0,1,1
25,90,10.0,0.0,6.0,1.0,1,1,1,1,0
85,70,6.0,7.0,6.0,4.0,0,1,0,1,1
100,100,36.0,24.0,3.0,5.0,1,1,1,1,1
100,100,35.0,5.0,3.0,4.0,1,1,1,1,1
35,86.66,5.0,6.0,5.0,5.0,0,1,1,1,0
100,100,36.0,24.0,3.0,4.0,1,1,1,1,1
45,76.66,7.0,3.0,5.0,4.0,0,1,0,1,1
40,96.66,5.0,2.0,5.0,5.0,1,1,1,1,0
40,40,5.0,1.0,4.0,4.0,0,0,0,1,0
20,83.33,5.0,1.0,3.0,4.0,1,1,0,1,0
35,50,6.0,0.0,5.0,3.0,0,0,1,1,0
35,100,7.0,1.0,5.0,3.0,1,1,1,1,0
30,86.66,5.0,2.0,2.0,5.0,1,1,0,1,0
90,100,36.0,24.0,5.0,5.0,1,1,1,1,1
95,80,36.0,1.0,5.0,5.0,0,1,0,1,1
45,90,5.0,24.0,5.0,3.0,1,1,0,1,0
80,86,9.0,6.0,5.0,5.0,1,1,1,1,1
45,76.66,8.0,3.0,5.0,4.0,1,1,0,0,0
95,100,37.0,24.0,3.0,5.0,1,1,1,1,1
90,100,36.0,1.0,5.0,6.0,1,1,1,1,1
35,86,7.0,2.0,3.0,3.0,1,1,0,1,0
90,100,36.0,24.0,4.0,4.0,1,1,1,1,1
50,90,5.0,6.0,5.0,4.0,1,1,1,1,0
95,100,39.0,24.0,3.0,3.0,1,1,1,1,1
55,86,5.0,1.0,6.0,5.0,0,1,1,1,0
50,93,5.0,0.0,5.0,5.0,1,1,1,1,0
50,93,36.0,5.0,3.0,6.0,1,1,1,1,0
60,90,5.0,6.0,3.0,5.0,1,1,0,1,0
55,56,36.0,24.0,4.0,99.0,1,0,1,1,0
45,93.33,112.0,100.0,5.0,5.0,1,1,1,1,1
45,56,9.0,0.0,5.0,3.0,1,0,1,1,0
65,86,35.0,0.0,5.0,3.0,1,1,0,1,0
85,100,35.0,23.0,2.0,3.0,1,1,1,1,1
30,93,5.0,1.0,5.0,4.0,1,1,0,1,0
40,90,7.0,2.0,5.0,3.0,1,1,1,1,0
55,100,9.0,43.0,5.0,3.0,1,1,1,1,1
0,0.0,99.0,99.0,99.0,99.0,0,0,0,0,0
0,0.0,99.0,99.0,99.0,99.0,0,0,0,0,0